Id,original_title,English Title,Overview,Release Date,Genre,Cast,Producer,Director
783461,लूप लपेटा,Looop Lapeta,"When her boyfriend loses a mobster's cash, Savi races against the clock to save the day — if only she can break out of a curious cycle of dead ends.",2022-02-04,"['Action', 'Comedy', 'Crime']","['Taapsee Pannu', 'Tahir Raj Bhasin', 'Shreya Dhanwanthary', 'Dibyendu Bhattacharya', 'Rajendra Chawla', 'K.C. Shankar', 'Suresh Triveni', 'Manik Papneja', 'Raghav Raj Kakker', 'Sameer Kevin Roy', 'Bhupesh Bandekar', 'Alistar Bennis', 'Varun Pande', 'Babajaan Devaraya', 'Guia Bianchi', 'Priya Paramita Paul']","['Mukesh Chhabra', 'Tanuj Garg', 'Siddharth Atha', 'Atul Kasbekar', 'Shanti Sivaram Maini', 'Simran Sawhney', 'Aakash Bhatia', 'Aakash Bhatia', 'Aayush Maheshwari', 'Rohit Chandaliya', 'Vivek Krishnani', 'Swati Iyer Chawla', 'Piya Sawhney']",['Tom Tykwer']
592508,Sooryavanshi,Sooryavanshi,"A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.",2021-11-05,"['Action', 'Crime', 'Thriller']","['Akshay Kumar', 'Katrina Kaif', 'Ajay Devgn', 'Ranveer Singh', 'Jackie Shroff', 'Javed Jaffrey', 'Kumud Mishra', 'Abhimanyu Singh', 'Nikitin Dheer', 'Gulshan Grover', 'Vivan Bhatena', 'Sikandar Kher', 'Rajendra Gupta', 'Amritpal Singh', 'Asif Basra', 'Uday Tikekar', 'Jayant Sawarkar', 'Pradeep Kabra', 'Micky Makhija', 'Siddharth Jadhav', 'Ashish Warang', 'Mrunal Jain', 'Anuradha Chandan', 'Sukanya Dhanda', 'Kishor Mahabole', 'Shruti Ulfat', 'Shaji Chaudhary', 'Sofiya Khan', 'Krishna Kotian', 'Meenal Sahu', 'Anil Mange', 'Niharica Raizada']","['Karan Johar', 'Hiroo Johar', 'Apoorva Mehta', 'Aruna Bhatia', 'Shibasish Sarkar', 'George Cameron']","['Rohit Shetty', 'Rohit Shetty', 'Sanchit Bedre']"
915831,"मोनिका, ओ माय डार्लिंग","Monica, O My Darling","A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing — not even death — is what it seems to be.",2022-11-11,"['Crime', 'Comedy', 'Drama', 'Mystery']","['Rajkummar Rao', 'Huma Qureshi', 'Radhika Apte', 'Akansha Ranjan Kapoor', 'Sukant Goel', 'Sikandar Kher', 'Bagavathi Perumal', 'Zayn Marie Khan', 'Shiva Rindani', 'Faisal Rashid', 'Vijay Kenkre', 'Radhika Madan', 'Abhimanyu Dasani', 'Shilpa Iyer', 'Gyanesh Upadhyay']","['Sanjay Routray', 'Vishal Bajaj', 'Anmol Ahuja', 'Sarita Patil', 'Nikita Grover', 'Dikssha Jyote Routray', 'Pratik Nandkumar More']",['Saad Khan']
850837,Blurr,Blurr,"With progressive blindness setting in, Gayatri has to find answers to her twin sister's unlikely death. As the lines of reality keep getting blurred, is she ready to look the truth in the eye?",2022-12-09,"['Horror', 'Thriller']","['Taapsee Pannu', 'Gulshan Devaiah', 'Krutika Desai Khan', 'Sumit Nijhawan', 'Radha Solanki', 'Abhilash Thapliyal']","['Pranjal Khandhdiya', 'Kavish Sinha', 'Kavish Sinha', 'Vishal Rana', 'Rahul Gandhi', 'Pradeep sharma', 'Shruti Rana', ""Tony D' Souza"", 'Manav Durga']","['Ajay Bahl', 'Ajay Bahl', 'Param Gill']"
496331,ब्रह्मास्त्र पहला भाग: शिवा,Brahmāstra Part One: Shiva,"The story of Shiva – a young man on the brink of an epic love, with a girl named Isha. But their world is turned upside down when Shiva learns that he has a mysterious connection to the Brahmāstra... and a great power within him that he doesn’t understand just yet - the power of Fire.",2022-09-09,"['Action', 'Adventure', 'Fantasy']","['Ranbir Kapoor', 'Alia Bhatt', 'Mouni Roy', 'Amitabh Bachchan', 'Nagarjuna Akkineni', 'Shah Rukh Khan', 'Dimple Kapadia', 'Saurav Gurjar', 'Rounallah Gazi', 'Gurfateh Pirzada', 'Stanzin Delek', 'Lehar Khan', 'Aditi Joshi', 'Markand Soni', 'Chaitnya Sharma', 'Saqib Ayub', 'Rashi Mal', 'Rohan Rustomji', 'Farida Dadi', 'Nivaan Gupta', 'Deepika Padukone', 'Chiranjeevi']","['Karan Johar', 'Apoorva Mehta', 'Marijke deSouza', 'Namit Malhotra', 'Bikram Duggal']","['S. S. Rajamouli', 'Diyan Hristov']"
20453,3 Idiots,3 Idiots,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's sexy daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",2009-12-23,"['Drama', 'Comedy']","['Aamir Khan', 'R. Madhavan', 'Sharman Joshi', 'Kareena Kapoor Khan', 'Boman Irani', 'Omi Vaidya', 'Mona Singh', 'Farida Dadi', 'Parikshat Sahni', 'Amardeep Jha', 'Mukund Bhatt', 'Olivier Lafont', 'Achyut Potdar', 'Chaitali Bose', 'Jayant Kripalani', 'Akhil Mishra', 'Atul Tiwari', 'Rajeev Ravindranathan', 'Supriya Shukla', 'Rahul Kumar', 'Javed Jaffrey', 'Ali Fazal', 'Arun Bali']","['Rahul Nanda', 'Menaka Nagarajan', 'Menaka Nagarajan', 'Vir Chopra', 'Navmeet Singh', 'Sunil Bohra', 'Nalini Rathnam', 'Bharat Jha', 'Sachin Utekar', 'Sachin Utekar', 'Girdhar Swami', 'Rohan Mapuskar', 'Rohan Mapuskar', 'Parshuram Mane', 'Kirit Parekh', 'Ramakant Dubey', 'Ravi Sarin', 'Aman Mahajan', 'Sanjiv Kishinchandani', 'Ravi Barnabas', 'Atishay Dayal', 'Salim Qureshi', 'Sarvesh Singh', 'Bhavin Thakkar', 'Dileep Desai']","['Vinay Waikul', 'Rajiv Verma', 'Karan Narvekar', 'Gaurav Chandelya', 'Gaurav Chandelya', 'Maheep Dhillon', 'Karan Tejpal']"
881983,Salaam Venky,Salaam Venky,"Sujata, an ideal mother, who battles the most challenging situations one can ever face with a smile.",2022-12-09,['Drama'],"['Kajol', 'Vishal Jethwa', 'Aahana Kumra', 'Rahul Bose', 'Rajeev Khandelwal', 'Ananth Narayan Mahadevan', 'Maala Parvathi', 'Jaineeraj Rajpurohit', 'Aamir Khan', 'Priyamani']","['Suraj Singh', 'Suraj Singh', 'Shraddha Agrawal', 'Varsha Kukreja']",[]
19404,दिलवाले दुल्हनिया ले जायेंगे,Dilwale Dulhania Le Jayenge,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",1995-10-19,"['Comedy', 'Drama', 'Romance']","['Shah Rukh Khan', 'Kajol', 'Amrish Puri', 'Anupam Kher', 'Satish Shah', 'Farida Jalal', 'Achala Sachdev', 'Himani Shivpuri', 'Pooja Ruparel', 'Mandira Bedi', 'Uday Chopra', 'Parmeet Sethi', 'Karan Johar', 'Arjun Sablok', 'Anaita Shroff Adajania', 'Hemlata Deepak', 'Lalit Tiwari', 'Baby Raashi', 'Baby Nupur', 'Shanker Iyer', 'Rajesh Bhatija', 'Govind Khatri', 'Mansoor Merchant', 'Mohit Kumar', 'Damyanti Puri', 'Surendra Rahi']","['Aditya Chopra', 'Aditya Chopra', 'Aditya Chopra', 'Aditya Chopra', 'Karan Johar', 'Mahen Vakil', 'Balakrishnan Iyer']","['Yash Chopra', 'Manmohan Singh']"
767377,धमाका,Dhamaka,"When a cynical ex-TV news anchor gets an alarming call on his radio show, he sees a chance for a career comeback — but it may cost his conscience.",2021-11-19,"['Thriller', 'Drama', 'Crime']","['Kartik Aaryan', 'Amruta Subhash', 'Mrunal Thakur', 'Soham Majumdar', 'Vikas Kumar', 'Vishwajeet Pradhan', 'Anuj Gurwara', 'Priya Tandon', 'Aeklavya Tomer', 'Prabhat Singh Bhadauriya', 'Aishwarya Chaudhary', 'Ritviq Joshi', 'Ashish Ranglani']","['Ronnie Screwvala', 'Amita Madhvani', 'Sushmita Yadav']","['Ram Madhvani', 'Ram Madhvani', 'Ram Madhvani', 'Puneet Sharma', 'Puneet Sharma']"
1046991,वध,Vadh,"Shambhunath Mishra, a retired middle school teacher is living a mundane middle-class life with his wife Manju Mishra in Gwalior. Life takes a complete turn for the Mishra family when a situation gets out of hand and it leads to a killing at the hands of Shambhunath Mishra. Mishra ji has very little time to plan cautiously to turn this into a “perfect murder” and leave no trace behind.",2022-12-09,"['Crime', 'Thriller']","['Sanjay Mishra', 'Neena Gupta', 'Manav Vij', 'Saurabh Sachdeva', 'Umesh Kaushik', 'Tanya Lal', 'Pranjal Pateriya', 'Diwakar Kumar', 'Abhitosh Singh Rajput']","['Jaspal Singh Sandhu', 'Jaspal Singh Sandhu', 'Ankur Garg', 'Mayank Johri', 'Neeraj Ruhil', 'Nymphea Saraf Sandhu', 'Subhav Sharma']","['Luv Ranjan', 'Deepak Thaper', 'Shamshir Khan']"
